meera,word break,sentence break,,,,,
むかす,1,,,,,,
むら,,,,,,,
ぬ,1,,,,,,
まき,,,,,,,
なんが,1,,,,,,
うすぃ,,,,,,,
ぬ,1,,,,,,
ぴとぅがら,1,,,,,,
すぃに,1,,,,,,
うだ,,,,,,,
ちょー,,1,,,,,
くり,,,,,,,
ゆ,1,,,,,,
みーだ,1,,,,,,
うい,,,,,,,
がらさー,,,,,,,
や,1,,,,,,
（,,,,,,,
くり,,,,,,,
ゆ,1,,,,,,
むーる,,,,,,,
し,1,,,,,,
ふぁーんばー,,,,,,,
）,,,,,,,
でぃ,1,,,,,,
うもーだ,1,1,,,,,
どぅ,,,,,,,
ぬ,1,,,,,,
にんじゅ,,,,,,,
ぬ,1,,,,,,
ばがさーる,1,,,,,,
がらさー,,,,,,,
かい,1,,,,,,
「,,,,,,,
とー,1,,,,,,
むら,,,,,,,
ぬ,1,,,,,,
まき,,,,,,,
なんが,1,,,,,,
うすぃ,,,,,,,
ぬ,1,,,,,,
すぃに,1,,,,,,
うり,,,,,,,
きー,1,,,,,,
うり,,,,,,,
ゆ,1,,,,,,
ふぉい,,,,,,,
な,1,,,,,,
はらー,,,,,,,
」,,,,,,,
でぃ,,,,,,,
どぅ,1,,,,,,
あんくだ,,,,,,,
ちょー,,1,,,,,
ばがさーる,1,,,,,,
がらす,,,,,,,
ぬめー,,,,,,,
や,1,,,,,,
「,,,,,,,
でぃ,1,,,,,,
ふぉい,,,,,,,
な,1,,,,,,
はらー,,,,,,,
」,,,,,,,
でぃ,1,,,,,,
あんき,1,,,,,,
とぅび,,,,,,,
たてーる,,,,,,,
がしゃーる,,1,,,,,
あんすんが,1,,,,,,
ばがさーる,1,,,,,,
がらす,,,,,,,
ぬめー,,,,,,,
や,1,,,,,,
がんずーさー,,,,,,,
ゆんから,1,,,,,,
ただーい,1,,,,,,
まい,,,,,,,
なり,1,,,,,,
はり,1,,,,,,
うい,,,,,,,
がらす,,,,,,,
や,1,,,,,,
ただーい,1,,,,,,
ちび,,,,,,,
かい,1,,,,,,
すぃてぃらり,,,,,,,
はった,,1,,,,,
（,,,,,,,
とーとー,1,,,,,,
あんず,,,,,,,
かー,1,,,,,,
ばー,1,,,,,,
ふぉーむのー,1,,,,,,
ねーなー,,,,,,,
なり,,,,,,,
きー,1,,,,,,
あんじぇー,,,,,,,
ならぬ,,1,,,,,
むぬかんがい,1,,,,,,
さーばどぅやる,,,,,,,
）,,,,,,,
でぃ,,,,,,,
どぅ,1,,,,,,
うい,,,,,,,
がらさー,,,,,,,
や,1,,,,,,
かんがいだ,,,,,,,
ちょー,,1,,,,,
「,,,,,,,
ぃやーぃや,1,,,,,,
わだー,1,,,,,,
いく,,,,,,,
かー,1,,,,,,
つぬ,,,,,,,
や,1,,,,,,
ふぉーな,,,,,,,
よー,1,,,,,,
つのー,,,,,,,
や,1,,,,,,
ふぁぬどぅらー,,,,,,,
」,,,,,,,
でぃ,1,,,,,,
あんけーる,,,,,,,
がしゃーる,,1,,,,,
ばがさーる,1,,,,,,
がらす,,,,,,,
ぬめーだ,,,,,,,
や,1,,,,,,
（,,,,,,,
あはー,1,,,,,,
つぬ,,,,,,,
どぅ,1,,,,,,
いつぃばん,1,,,,,,
んまさーる,,,,,,,
らー,,,,,,,
）,,,,,,,
でぃ,1,,,,,,
うむい,1,,,,,,
まき,,,,,,,
なんが,1,,,,,,
いき,1,,,,,,
つのー,,,,,,,
ゆ,1,,,,,,
ふぉーん,,,,,,,
でぃ,1,,,,,,
すだ,,,,,,,
すんが,1,,,,,,
つぬ,,,,,,,
や,1,,,,,,
こーさー,,,,,,,
ぬ,1,,,,,,
ふぉい,,,,,,,
ん,1,,,,,,
しらるぬ,,1,,,,,
あんず,,,,,,,
んけん,1,,,,,,
うい,,,,,,,
がらさー,,,,,,,
や,1,,,,,,
ちび,,,,,,,
から,1,,,,,,
きーて,1,,,,,,
いつぃばん,1,,,,,,
んまさーる,1,,,,,,
うすぃ,,,,,,,
ぬ,1,,,,,,
みんたま,,,,,,,
ゆ,1,,,,,,
ぬぎ,1,,,,,,
ふぉい,1,,,,,,
「,,,,,,,
だふぁーだふぁー,,,,,,,
」,,,,,,,
でぃ,1,,,,,,
なき,1,,,,,,
とぅび,1,,,,,,
はった,,,,,,,
ちょー,,1,,,,,
