meera,word break,sentence break,japanese,root,parse,cognate,notes
むかす,1.0,N/A,昔,N/A,N/A,1,N/A
むら,N/A,N/A,村,N/A,N/A,1,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
まき,N/A,N/A,牧場,N/A,N/A,1,N/A
なんが,1.0,N/A,〜で,N/A,N/A,0,N/A
うすぃ,N/A,N/A,牛,N/A,N/A,1,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
ぴとぅがら,1.0,N/A,一匹、一頭,N/A,ぴとぅ〜がら,0,N/A
すぃに,1.0,N/A,死に,すぃぬ,〜い,1,N/A
うだ,N/A,N/A,居た,うる,〜う,1,おる
ちょー,N/A,1.0,〜そうだ,N/A,N/A,0,N/A
くり,N/A,N/A,これ,N/A,N/A,1,N/A
ゆ,1.0,N/A,〜を,N/A,N/A,0,N/A
みーだ,1.0,N/A,見た,みーる,〜だ,1,N/A
うい,N/A,N/A,年寄り,N/A,N/A,1,老
がらさー,N/A,N/A,カラス,N/A,N/A,1,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
（,N/A,N/A,,,,,
くり,N/A,N/A,これ,N/A,N/A,1,N/A
ゆ,1.0,N/A,〜を,N/A,N/A,0,N/A
むーる,N/A,N/A,みんな,N/A,N/A,0,N/A
し,1.0,N/A,〜で,N/A,N/A,0,N/A
ふぁーんばー,N/A,N/A,食べよう,ふぉー,〜あーぬ〜ばー,1,食う
）,N/A,N/A,,,,,
でぃ,1.0,N/A,〜と,N/A,N/A,0,N/A
うもーだ,1.0,1.0,思った,うもー,〜だ,1,N/A
どぅ,N/A,N/A,〜ぞ,N/A,N/A,0,係結び
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
にんじゅ,N/A,N/A,仲間,N/A,N/A,0,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
ばがさーる,1.0,N/A,若い,ばが,〜さー〜う,1,N/A
がらさー,N/A,N/A,カラス,N/A,N/A,1,N/A
かい,1.0,N/A,〜に,N/A,N/A,0,N/A
「,N/A,N/A,,,,,
とー,1.0,N/A,ねー,N/A,N/A,0,N/A
むら,N/A,N/A,村,N/A,N/A,1,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
まき,N/A,N/A,牧場,N/A,N/A,1,N/A
なんが,1.0,N/A,〜で,N/A,N/A,0,N/A
うすぃ,N/A,N/A,牛,N/A,N/A,1,N/A
ぬ,1.0,N/A,〜の,N/A,N/A,1,N/A
すぃに,1.0,N/A,死に,すぃぬ,〜い,1,N/A
うり,N/A,N/A,居,うる,〜い,1,おる
きー,1.0,N/A,〜ので,N/A,N/A,0,N/A
うり,N/A,N/A,それ,N/A,N/A,1,N/A
ゆ,1.0,N/A,〜を,N/A,N/A,0,N/A
ふぉい,N/A,N/A,食べ,ふぉー,〜い,1,食う
な,1.0,N/A,〜に,N/A,N/A,0,＋動詞
はらー,N/A,N/A,行こう,はる,〜あー,0,N/A
」,N/A,N/A,,,,,
でぃ,N/A,N/A,〜と,N/A,N/A,0,N/A
どぅ,1.0,N/A,〜ぞ,N/A,N/A,0,係結び
あんくだ,N/A,N/A,言った,あんく,〜だ,0,N/A
ちょー,N/A,1.0,〜そうだ,N/A,N/A,0,N/A
ばがさーる,1.0,N/A,若い,ばが,〜さー〜う,1,N/A
がらす,N/A,N/A,カラス,N/A,N/A,1,N/A
ぬめー,N/A,N/A,〜たち,N/A,N/A,0,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
「,N/A,N/A,,,,,
でぃー,1.0,N/A,じゃー,N/A,N/A,0,N/A
ふぉい,N/A,N/A,食べ,ふぉー,〜い,1,食う
な,1.0,N/A,〜に,N/A,N/A,0,＋動詞
はらー,N/A,N/A,行こう,はる,〜あー,0,N/A
」,N/A,N/A,,,,,
でぃ,1.0,N/A,〜と,N/A,N/A,0,N/A
あんき,1.0,N/A,言い,あんく,〜い,0,N/A
とぅび,N/A,N/A,飛び,とぅぶ,〜い,1,N/A
たてーる,N/A,N/A,立てる,たてぃる,〜う,1,N/A
がしゃーる,N/A,1.0,〜みたい,N/A,N/A,0,N/A
あんすんが,1.0,N/A,でも,あんず,〜そんが,0,N/A
ばがさーる,1.0,N/A,若い,ばが,〜さー〜う,1,N/A
がらす,N/A,N/A,カラス,N/A,N/A,1,N/A
ぬめー,N/A,N/A,〜たち,N/A,N/A,0,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
がんずーさー,N/A,N/A,元気であって,がんずー,〜さー,1,頑丈
ゆんから,1.0,N/A,〜であるから,N/A,N/A,0,N/A
ただーい,1.0,N/A,ずんずん,N/A,N/A,0,N/A
まい,N/A,N/A,前,N/A,N/A,1,N/A
なり,1.0,N/A,成り,なる,〜い,1,N/A
はり,1.0,N/A,行き,はる,〜い,0,N/A
うい,N/A,N/A,年寄り,N/A,N/A,1,老
がらす,N/A,N/A,カラス,N/A,N/A,1,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
ただーい,1.0,N/A,ずんずん,N/A,N/A,0,N/A
ちび,N/A,N/A,尻,N/A,N/A,0,N/A
かい,1.0,N/A,〜に,N/A,N/A,0,N/A
すぃてぃらり,N/A,N/A,捨てられ,すてぇいる,〜あり〜ぬ,1,N/A
はった,N/A,1.0,行った,はる,〜た,0,N/A
（,N/A,N/A,,,,,
とーとー,1.0,N/A,あーあー,N/A,N/A,0,N/A
あんず,N/A,N/A,そうする,あんず,〜う,0,N/A
かー,1.0,N/A,〜れば,N/A,N/A,0,N/A
ばー,1.0,N/A,私,N/A,N/A,0,N/A
ふぉーむのー,1.0,N/A,食べ物,ふぉー,〜むぬ〜や,1,食う
ねーなー,N/A,N/A,なく,ねーぬ,〜い,0,N/A
なり,N/A,N/A,成り,なる,〜い,1,N/A
きー,1.0,N/A,〜ので,N/A,N/A,0,N/A
あんじぇー,N/A,N/A,それでは,あんず,N/A,0,N/A
ならぬ,N/A,1.0,ならない,なる,〜あぬ,1,N/A
むぬかんがい,1.0,N/A,知恵を使う,N/A,むぬ〜かんがい,1,もの＋考え
さーばどぅやる,N/A,N/A,〜しなくてはいけない,すー,〜あー〜ば〜どぅ〜なる,1,N/A
）,N/A,N/A,,,,,
でぃ,N/A,N/A,〜と,N/A,N/A,0,N/A
どぅ,1.0,N/A,〜ぞ,N/A,N/A,0,係結び
うい,N/A,N/A,年寄り,N/A,N/A,1,老
がらさー,N/A,N/A,カラス,N/A,N/A,1,N/A
や,1.0,N/A,〜は,N/A,N/A,0,N/A
かんがいだ,N/A,N/A,考えた,かんがいる,〜だ,1,N/A
